case	ecli	celex
C-184/23	ECLI:EU:C:2024:599	62023CJ0184
C-207/23	ECLI:EU:C:2024:352	62023CJ0207
C-217/23	ECLI:EU:C:2025:218	62023CJ0217
C-229/23	ECLI:EU:C:2024:505	62023CJ0229
C-239/23	ECLI:EU:C:2024:888	62023CJ0239
C-241/23	ECLI:EU:C:2024:392	62023CJ0241
C-242/23	ECLI:EU:C:2024:831	62023CJ0242
C-266/23	ECLI:EU:C:2024:506	62023CJ0266
C-286/23	ECLI:EU:C:2024:655	62023CJ0286
C-291/23	ECLI:EU:C:2024:938	62023CJ0291
C-296/23	ECLI:EU:C:2024:527	62023CJ0296
C-302/23	ECLI:EU:C:2024:905	62023CJ0302
C-324/23	ECLI:EU:C:2025:324	62023CJ0324
C-349/23	ECLI:EU:C:2024:889	62023CJ0349
C-350/23	ECLI:EU:C:2024:771	62023CJ0350
C-370/23	ECLI:EU:C:2024:972	62023CJ0370
C-375/23	ECLI:EU:C:2024:572	62023CJ0375
C-376/23	ECLI:EU:C:2025:20	62023CJ0376
C-379/23	ECLI:EU:C:2024:1002	62023CJ0379
C-385/23	ECLI:EU:C:2024:497	62023CJ0385
C-388/23	ECLI:EU:C:2024:1022	62023CJ0388
C-389/23	ECLI:EU:C:2024:1001	62023CJ0389
C-403/23	ECLI:EU:C:2024:805	62023CJ0403
C-408/23	ECLI:EU:C:2024:901	62023CJ0408
C-411/23	ECLI:EU:C:2024:498	62023CJ0411
C-414/23	ECLI:EU:C:2025:350	62023CJ0414
C-422/23	ECLI:EU:C:2025:592	62023CJ0422
C-429/23	ECLI:EU:C:2024:742	62023CJ0429
C-475/23	ECLI:EU:C:2024:866	62023CJ0475
C-481/23	ECLI:EU:C:2025:259	62023CJ0481
C-494/23	ECLI:EU:C:2024:848	62023CJ0494
C-530/23	ECLI:EU:C:2025:322	62023CJ0530
C-536/23	ECLI:EU:C:2025:293	62023CJ0536
C-538/23	ECLI:EU:C:2025:367	62023CJ0538
C-582/23	ECLI:EU:C:2025:518	62023CJ0582
C-584/23	ECLI:EU:C:2025:261	62023CJ0584
C-589/23	ECLI:EU:C:2025:173	62023CJ0589
C-591/23	ECLI:EU:C:2024:1053	62023CJ0591
C-596/23	ECLI:EU:C:2024:1044	62023CJ0596
C-602/23	ECLI:EU:C:2025:290	62023CJ0602
C-630/23	ECLI:EU:C:2025:302	62023CJ0630
C-631/23	ECLI:EU:C:2025:906	62023CJ0631
C-635/23	ECLI:EU:C:2025:546	62023CJ0635
C-636/23	ECLI:EU:C:2025:603	62023CJ0636
C-638/23	ECLI:EU:C:2025:127	62023CJ0638
C-642/23	ECLI:EU:C:2025:12	62023CJ0642
C-645/23	ECLI:EU:C:2025:454	62023CJ0645
C-653/23	ECLI:EU:C:2025:517	62023CJ0653
C-674/23	ECLI:EU:C:2025:113	62023CJ0674
C-677/23	ECLI:EU:C:2025:37	62023CJ0677
C-682/23	ECLI:EU:C:2025:827	62023CJ0682
C-685/23	ECLI:EU:C:2025:398	62023CJ0685
C-699/23	ECLI:EU:C:2025:297	62023CJ0699
C-710/23	ECLI:EU:C:2025:231	62023CJ0710
C-717/23	ECLI:EU:C:2025:351	62023CJ0717
C-726/23	ECLI:EU:C:2025:646	62023CJ0726
C-733/23	ECLI:EU:C:2025:515	62023CJ0733
C-749/23	ECLI:EU:C:2025:405	62023CJ0749
C-760/23	ECLI:EU:C:2025:828	62023CJ0760
C-762/23	ECLI:EU:C:2025:400	62023CJ0762
C-782/23	ECLI:EU:C:2025:353	62023CJ0782
C-783/23	ECLI:EU:C:2025:547	62023CJ0783
C-802/23	ECLI:EU:C:2025:688	62023CJ0802
C-807/23	ECLI:EU:C:2025:234	62023CJ0807
C-808/23	ECLI:EU:C:2025:516	62023CJ0808
C-809/23	ECLI:EU:C:2025:195	62023CJ0809
C-6/24	ECLI:EU:C:2025:333	62024CJ0006
C-8/24	ECLI:EU:C:2026:210	62024CJ0008
C-37/24	ECLI:EU:C:2025:551	62024CJ0037
C-45/24	ECLI:EU:C:2026:2	62024CJ0045
C-57/24	ECLI:EU:C:2025:217	62024CJ0057
C-82/24	ECLI:EU:C:2025:396	62024CJ0082
C-99/24	ECLI:EU:C:2025:563	62024CJ0099
C-110/24	ECLI:EU:C:2025:768	62024CJ0110
C-117/24	ECLI:EU:C:2025:872	62024CJ0117
C-120/24	ECLI:EU:C:2025:174	62024CJ0120
C-129/24	ECLI:EU:C:2026:5	62024CJ0129
C-134/24	ECLI:EU:C:2025:839	62024CJ0134
C-142/24	ECLI:EU:C:2025:873	62024CJ0142
C-164/24	ECLI:EU:C:2025:241	62024CJ0164
C-184/24	ECLI:EU:C:2025:997	62024CJ0184
C-186/24	ECLI:EU:C:2025:211	62024CJ0186
C-202/24	ECLI:EU:C:2024:649	62024CJ0202
C-212/24	ECLI:EU:C:2025:341	62024CJ0212
C-213/24	ECLI:EU:C:2025:238	62024CJ0213
C-218/24	ECLI:EU:C:2025:794	62024CJ0218
C-221/24	ECLI:EU:C:2025:818	62024CJ0221
C-236/24	ECLI:EU:C:2025:321	62024CJ0236
C-246/24	ECLI:EU:C:2025:295	62024CJ0246
C-268/24	ECLI:EU:C:2025:526	62024CJ0268
C-276/24	ECLI:EU:C:2025:554	62024CJ0276
C-279/24	ECLI:EU:C:2025:942	62024CJ0279
C-284/24	ECLI:EU:C:2025:741	62024CJ0284
C-287/24	ECLI:EU:C:2025:550	62024CJ0287
C-310/24	ECLI:EU:C:2025:406	62024CJ0310
C-313/24	ECLI:EU:C:2026:91	62024CJ0313
C-323/24	ECLI:EU:C:2025:983	62024CJ0323
C-325/24	ECLI:EU:C:2025:989	62024CJ0325
C-330/24	ECLI:EU:C:2025:296	62024CJ0330
C-341/24	ECLI:EU:C:2025:693	62024CJ0341
C-345/24	ECLI:EU:C:2025:1009	62024CJ0345
C-349/24	ECLI:EU:C:2025:397	62024CJ0349
C-351/24	ECLI:EU:C:2025:215	62024CJ0351
C-370/24	ECLI:EU:C:2025:300	62024CJ0370
C-375/24	ECLI:EU:C:2025:624	62024CJ0375
C-384/24	ECLI:EU:C:2025:696	62024CJ0384
C-396/24	ECLI:EU:C:2025:460	62024CJ0396
C-399/24	ECLI:EU:C:2025:791	62024CJ0399
C-405/24	ECLI:EU:C:2025:335	62024CJ0405
C-413/24	ECLI:EU:C:2026:30	62024CJ0413
C-434/24	ECLI:EU:C:2026:247	62024CJ0434
C-461/24	ECLI:EU:C:2025:620	62024CJ0461
C-477/24	ECLI:EU:C:2026:182	62024CJ0477
C-500/24	ECLI:EU:C:2025:846	62024CJ0500
C-516/24	ECLI:EU:C:2026:185	62024CJ0516
C-535/24	ECLI:EU:C:2025:744	62024CJ0535
C-539/24	ECLI:EU:C:2025:919	62024CJ0539
C-540/24	ECLI:EU:C:2025:766	62024CJ0540
C-617/24	ECLI:EU:C:2025:908	62024CJ0617
C-639/24	ECLI:EU:C:2025:888	62024CJ0639
C-659/24	ECLI:EU:C:2025:796	62024CJ0659
C-746/24	ECLI:EU:C:2025:925	62024CJ0746
C-812/24	ECLI:EU:C:2026:38	62024CJ0812
C-135/25	ECLI:EU:C:2025:366	62025CJ0135
C-150/25	ECLI:EU:C:2026:188	62025CJ0150
